"26","2005"
"27","2006"
"28","2007"
"29","2008"
"30","2009"
"31","2010"
"32","2011"
"33","2012"
"34","2013"
"35","2014"
"36","2015"
"37","2016"
"38","2017"
"39","2018"
"40","2019"
"41","1965"
"42","1966"
"43","1967"
"44","1968"
"45","1969"
"46","1970"
"47","1971"
"48","1972"
"49","1973"
"50","1974"
"51","1975"
"52","1976"
"53","1977"
"54","1978"
"55","1979"
"56","1980"
"57","1981"
"58","1982"
"59","1983"
"60","1984"
"61","1985"
"62","1986"
"63","1987"
"64","1988"
"65","1989"
"66","1990"
"67","1991"
"68","1992"
"69","1993"
"70","1994"
"71","1995"
"72","1996"
"73","1997"
"74","1998"
"75","1999"
"76","2000"
"77","2001"
"78","2002"
"79","2003"
"80","2004"
"81","2005"
"82","2006"
"83","2007"
"84","2008"
"85","2009"
"86","2010"
"87","2011"
"88","2012"
"89","2013"
"90","2014"
"91","2015"
"92","2016"
"93","2017"
"94","2018"
"95","2019"
"96","2020"
"1","Aladdin","C'est l'histoire d'un jeune homme pauvre qui tombe amoureux de la princesse d'Agraba","Disney","3","71"
"2","Le Livre de la Jungle","C'est l'histoire d'un enfant élevé par des animaux dans la jungle","Disney","3","44"
"3","Mulan","C'est l'histoire d'une jeune chinoise qui prend la place de son père à la guerre. Elle arrive à déjouer l'attaque des Huns et sauve la Chine","Disney","3","74"
"4","Dragon rouge","Voila trois ans que Will Graham a arrete le docteur Hannibal Lecter.
. Il vit desormais paisiblement avec son epouse et leur fils en Floride. Profondement marque par sa rencontre avec Hannibal, Will a prefere demissionner du FBI. Il reçoit bientot la visite de son ancien directeur qui lui demande de l'aider a arreter un tueur en serie connu sous le nom de la petite souris qui a deja assassine deux familles durant des nuits de pleine lune.","Brett Ratner","5","78"
"5","Point Break","un jeune agent du FBI, est charge d'infiltrer un groupe de surfeurs, surnommes les ex-presidents, car ils sont soupçonnes de commettre de multiples cambriolages dans la region de Los Angeles. Il s'initie rapidement au surf et decouvre que les sportifs vivent en cercle ferme. Il parvient a se faire accepter et fait bientot la connaissance de Bodhi, le maitre a penser du groupe, qui ne cherche qu'une chose : la vague extreme.","Kathryn Bigelow","5","67"
"6","Roi lion 1","Le fils du roi des animaux vient de naitre. Son oncle est jaloux car il aimerait lui aussi regner. Il invente une ruse qui aboutira sur la mort du roi. Le jeune fils, Simba, temoin de la mort de son pere, et s'en croyant responsable, va fuir sa horde.","Rob Minkoff et Roger Allers","3","70"
"7","Home","Home est un film documentaire exprimant ce qui lie l’homme a la terre et son impact.","Luc Besson","6","30"
"8","Harry Potter et les reliques de la mort","Le denouement des aventures du jeune sorcier, commences sept editions plus tot, approche. Plus terrifiant et puissant que jamais, Voldemort, accompagne de ses fideles servants, les Mangemorts, controle quasiment l'ensemble du monde des sorciers.","David Yates","1","86"
"9","Inception","Dom Cobb est un voleur experimente dans l'art perilleux de l'extraction : sa specialite consiste a s'approprier les secrets les plus precieux d'un individu, enfouis au plus profond de son subconscient, pendant qu'il reve et que son esprit est particulièrement vulnérable.","Christopher Nolan","4","31"
"1","Fantastique"
"2","Policier"
"3","Disney"
"4","Science-Fiction"
"5","Thriller"
"6","Documentaire"
